A.Ilyin, Y.Pronina  Curved pipes subjected to mechanochemical corrosion under pressure: Analytical and numerical estimates of the lifetime ;;;
Data set for constructing the error maps presented in Figure 7;;;
Error_1 is for Figure 7(a), Error_2 is for Figure 7(b), ;;;
##################################;;;
R/ro;h/ro;Error_1;Error_2
2.8;0.0455;1.5768;-1.8672
2.8;0.0476;1.6952;-2.0036
2.8;0.0500;1.8331;-2.1685
2.8;0.0526;2.0657;-2.4263
2.8;0.0556;2.2612;-2.6651
2.8;0.0588;2.4986;-2.9492
2.8;0.0625;2.8408;-3.3513
2.8;0.0667;3.1906;-3.7743
2.8;0.0714;3.6502;-4.3400
2.8;0.0769;4.1438;-4.9668
2.8;0.0833;4.7714;-5.7779
2.8;0.0909;5.5009;-6.7566
2.8;0.1000;6.3137;-7.8847
2.8;0.1111;7.3243;-9.3614
2.8;0.1250;8.4219;-11.0571
2.8;0.1429;9.6442;-13.0724
2.8;0.1667;10.8735;-15.2555
2.8;0.2000;11.9407;-17.2338
2.9;0.0200;0.5228;-0.6282
2.9;0.0204;0.5889;-0.8163
2.9;0.0208;0.5991;-0.7027
2.9;0.0213;0.6449;-0.7622
2.9;0.0217;0.6588;-0.7755
2.9;0.0222;0.6688;-0.7890
2.9;0.0227;0.6808;-0.8048
2.9;0.0233;0.6934;-0.8199
2.9;0.0238;0.7062;-0.8353
2.9;0.0244;0.7195;-0.8512
2.9;0.0250;0.7332;-0.8681
2.9;0.0256;0.7483;-0.8862
2.9;0.0263;0.7678;-0.9103
2.9;0.0270;0.7838;-0.9299
2.9;0.0278;0.8001;-0.9511
2.9;0.0286;0.8188;-0.9722
2.9;0.0294;0.8388;-0.9963
2.9;0.0303;0.9297;-1.0807
2.9;0.0313;0.9529;-1.1145
2.9;0.0323;0.9794;-1.1543
2.9;0.0333;1.0137;-1.1964
2.9;0.0345;1.0502;-1.2386
2.9;0.0357;1.0932;-1.2884
2.9;0.0370;1.1385;-1.3418
2.9;0.0385;1.1937;-1.4043
2.9;0.0400;1.2577;-1.4796
2.9;0.0417;1.3950;-1.6335
2.9;0.0435;1.4843;-1.7349
2.9;0.0455;1.5886;-1.8590
2.9;0.0476;1.7140;-2.0016
2.9;0.0500;1.8593;-2.1736
2.9;0.0526;2.1018;-2.4412
2.9;0.0556;2.3062;-2.6885
2.9;0.0588;2.5559;-2.9861
2.9;0.0625;2.9060;-3.3955
2.9;0.0667;3.2637;-3.8275
2.9;0.0714;3.7301;-4.3994
2.9;0.0769;4.2280;-5.0306
2.9;0.0833;4.8581;-5.8427
2.9;0.0909;5.5923;-6.8137
2.9;0.1000;6.3837;-7.9230
2.9;0.1111;7.3760;-9.3621
2.9;0.1250;8.4357;-10.9960
2.9;0.1429;9.6048;-12.9083
2.9;0.1667;10.7575;-14.9123
2.9;0.2000;11.7237;-16.6262
3;0.0200;0.5090;-0.6064
3;0.0204;0.5727;-0.7913
3;0.0208;0.5825;-0.6777
3;0.0213;0.6300;-0.7370
3;0.0217;0.6421;-0.7498
3;0.0222;0.6521;-0.7629
3;0.0227;0.6636;-0.7768
3;0.0233;0.6757;-0.7912
3;0.0238;0.6881;-0.8067
3;0.0244;0.7008;-0.8216
3;0.0250;0.7141;-0.8382
3;0.0256;0.7287;-0.8560
3;0.0263;0.7479;-0.8791
3;0.0270;0.7635;-0.8981
3;0.0278;0.7832;-0.9114
3;0.0286;0.8021;-0.9315
3;0.0294;0.8190;-0.9640
3;0.0303;0.9102;-1.0484
3;0.0313;0.9346;-1.0829
3;0.0323;0.9616;-1.1240
3;0.0333;1.0001;-1.1656
3;0.0345;1.0401;-1.2137
3;0.0357;1.0823;-1.2623
3;0.0370;1.1307;-1.3184
3;0.0385;1.1893;-1.3856
3;0.0400;1.2573;-1.4628
3;0.0417;1.4003;-1.6220
3;0.0435;1.4935;-1.7302
3;0.0455;1.6059;-1.8578
3;0.0476;1.7366;-2.0069
3;0.0500;1.8903;-2.1867
3;0.0526;2.1397;-2.4649
3;0.0556;2.3526;-2.7149
3;0.0588;2.6129;-3.0217
3;0.0625;2.9699;-3.4407
3;0.0667;3.3345;-3.8790
3;0.0714;3.8076;-4.4611
3;0.0769;4.3058;-5.0932
3;0.0833;4.9453;-5.9104
3;0.0909;5.6659;-6.8644
3;0.1000;6.4441;-7.9536
3;0.1111;7.4130;-9.3544
3;0.1250;8.4371;-10.9232
3;0.1429;9.5519;-12.7262
3;0.1667;10.6299;-14.5666
3;0.2000;11.4966;-16.0399
3.1;0.0200;0.4952;-0.5854
3.1;0.0204;0.5574;-0.7687
3.1;0.0208;0.5661;-0.6540
3.1;0.0213;0.6141;-0.7146
3.1;0.0217;0.6260;-0.7257
3.1;0.0222;0.6360;-0.7384
3.1;0.0227;0.6471;-0.7530
3.1;0.0233;0.6588;-0.7666
3.1;0.0238;0.6706;-0.7806
3.1;0.0244;0.6830;-0.7955
3.1;0.0250;0.6962;-0.8109
3.1;0.0256;0.7107;-0.8283
3.1;0.0263;0.7296;-0.8509
3.1;0.0270;0.7454;-0.8697
3.1;0.0278;0.7618;-0.8906
3.1;0.0286;0.7808;-0.9120
3.1;0.0294;0.8018;-0.9357
3.1;0.0303;0.8938;-1.0205
3.1;0.0313;0.9194;-1.0560
3.1;0.0323;0.9480;-1.0983
3.1;0.0333;0.9883;-1.1417
3.1;0.0345;1.0307;-1.1913
3.1;0.0357;1.0756;-1.2425
3.1;0.0370;1.1274;-1.3017
3.1;0.0385;1.1891;-1.3716
3.1;0.0400;1.2612;-1.4525
3.1;0.0417;1.4106;-1.6177
3.1;0.0435;1.5087;-1.7310
3.1;0.0455;1.6260;-1.8650
3.1;0.0476;1.7642;-2.0193
3.1;0.0500;1.9243;-2.2059
3.1;0.0526;2.1836;-2.4919
3.1;0.0556;2.4041;-2.7538
3.1;0.0588;2.6651;-3.0622
3.1;0.0625;3.0343;-3.4909
3.1;0.0667;3.4040;-3.9348
3.1;0.0714;3.8815;-4.5214
3.1;0.0769;4.3809;-5.1544
3.1;0.0833;5.0100;-5.9603
3.1;0.0909;5.7307;-6.9092
3.1;0.1000;6.4942;-7.9762
3.1;0.1111;7.4390;-9.3373
3.1;0.1250;8.4259;-10.8406
3.1;0.1429;9.4884;-12.5417
3.1;0.1667;10.4942;-14.2201
3.1;0.2000;11.2710;-15.4618
3.2;0.0200;0.4816;-0.5661
3.2;0.0204;0.4807;-0.5669
3.2;0.0208;0.5880;-0.6800
3.2;0.0213;0.6001;-0.6921
3.2;0.0217;0.6101;-0.7038
3.2;0.0222;0.6213;-0.7168
3.2;0.0227;0.6318;-0.7291
3.2;0.0233;0.6430;-0.7425
3.2;0.0238;0.6546;-0.7561
3.2;0.0244;0.6667;-0.7705
3.2;0.0250;0.6797;-0.7859
3.2;0.0256;0.6941;-0.8031
3.2;0.0263;0.7130;-0.8255
3.2;0.0270;0.7289;-0.8443
3.2;0.0278;0.7463;-0.8646
3.2;0.0286;0.7655;-0.8865
3.2;0.0294;0.7870;-0.9112
3.2;0.0303;0.8801;-0.9968
3.2;0.0313;0.9075;-1.0337
3.2;0.0323;0.9378;-1.0773
3.2;0.0333;0.9804;-1.1226
3.2;0.0345;1.0251;-1.1743
3.2;0.0357;1.0727;-1.2281
3.2;0.0370;1.1278;-1.2901
3.2;0.0385;1.1934;-1.3638
3.2;0.0400;1.2694;-1.4485
3.2;0.0417;1.4234;-1.6185
3.2;0.0435;1.5279;-1.7377
3.2;0.0455;1.6508;-1.8770
3.2;0.0476;1.7950;-2.0377
3.2;0.0500;1.9615;-2.2301
3.2;0.0526;2.2286;-2.5254
3.2;0.0556;2.4576;-2.7930
3.2;0.0588;2.7221;-3.1069
3.2;0.0625;3.0987;-3.5445
3.2;0.0667;3.4721;-3.9924
3.2;0.0714;3.9520;-4.5808
3.2;0.0769;4.4506;-5.2122
3.2;0.0833;5.0774;-6.0130
3.2;0.0909;5.7875;-6.9491
3.2;0.1000;6.5341;-7.9907
3.2;0.1111;7.4548;-9.3114
3.2;0.1250;8.4043;-10.7472
3.2;0.1429;9.4151;-12.3460
3.2;0.1667;10.3507;-13.8703
3.2;0.2000;11.0407;-14.9027
3.3;0.0200;0.4684;-0.5466
3.3;0.0204;0.5270;-0.7252
3.3;0.0208;0.5346;-0.6097
3.3;0.0213;0.5862;-0.6717
3.3;0.0217;0.5957;-0.6814
3.3;0.0222;0.6058;-0.6940
3.3;0.0227;0.6164;-0.7065
3.3;0.0233;0.6275;-0.7195
3.3;0.0238;0.6395;-0.7338
3.3;0.0244;0.6514;-0.7476
3.3;0.0250;0.6646;-0.7632
3.3;0.0256;0.6791;-0.7803
3.3;0.0263;0.6981;-0.8027
3.3;0.0270;0.7145;-0.8217
3.3;0.0278;0.7350;-0.8352
3.3;0.0286;0.7555;-0.8563
3.3;0.0294;0.7748;-0.8903
3.3;0.0303;0.8694;-0.9772
3.3;0.0313;0.8987;-1.0153
3.3;0.0323;0.9308;-1.0606
3.3;0.0333;0.9756;-1.1082
3.3;0.0345;1.0228;-1.1621
3.3;0.0357;1.0735;-1.2186
3.3;0.0370;1.1318;-1.2838
3.3;0.0385;1.2013;-1.3611
3.3;0.0400;1.2809;-1.4494
3.3;0.0417;1.4409;-1.6254
3.3;0.0435;1.5509;-1.7491
3.3;0.0455;1.6791;-1.8939
3.3;0.0476;1.8286;-2.0602
3.3;0.0500;2.0008;-2.2581
3.3;0.0526;2.2745;-2.5607
3.3;0.0556;2.5060;-2.8303
3.3;0.0588;2.7842;-3.1561
3.3;0.0625;3.1596;-3.5960
3.3;0.0667;3.5366;-4.0467
3.3;0.0714;4.0186;-4.6375
3.3;0.0769;4.5151;-5.2664
3.3;0.0833;5.1436;-6.0670
3.3;0.0909;5.8367;-6.9809
3.3;0.1000;6.5663;-7.9960
3.3;0.1111;7.4609;-9.2749
3.3;0.1250;8.3745;-10.6461
3.3;0.1429;9.3332;-12.1420
3.3;0.1667;10.2018;-13.5242
3.3;0.2000;10.8097;-14.3604
3.4;0.0200;0.4556;-0.5287
3.4;0.0204;0.5121;-0.7035
3.4;0.0208;0.5197;-0.5895
3.4;0.0213;0.5721;-0.6531
3.4;0.0217;0.5817;-0.6615
3.4;0.0222;0.5921;-0.6743
3.4;0.0227;0.6028;-0.6879
3.4;0.0233;0.6140;-0.7006
3.4;0.0238;0.6254;-0.7137
3.4;0.0244;0.6377;-0.7277
3.4;0.0250;0.6510;-0.7428
3.4;0.0256;0.6659;-0.7602
3.4;0.0263;0.6850;-0.7824
3.4;0.0270;0.7020;-0.8018
3.4;0.0278;0.7200;-0.8236
3.4;0.0286;0.7412;-0.8465
3.4;0.0294;0.7650;-0.8726
3.4;0.0303;0.8615;-0.9610
3.4;0.0313;0.8926;-1.0010
3.4;0.0323;0.9266;-1.0483
3.4;0.0333;0.9740;-1.0977
3.4;0.0345;1.0237;-1.1543
3.4;0.0357;1.0776;-1.2136
3.4;0.0370;1.1394;-1.2822
3.4;0.0385;1.2124;-1.3626
3.4;0.0400;1.2958;-1.4546
3.4;0.0417;1.4618;-1.6368
3.4;0.0435;1.5761;-1.7651
3.4;0.0455;1.7093;-1.9147
3.4;0.0476;1.8645;-2.0872
3.4;0.0500;2.0416;-2.2899
3.4;0.0526;2.3243;-2.5975
3.4;0.0556;2.5594;-2.8780
3.4;0.0588;2.8350;-3.2016
3.4;0.0625;3.2200;-3.6475
3.4;0.0667;3.5990;-4.1007
3.4;0.0714;4.0812;-4.6921
3.4;0.0769;4.5746;-5.3170
3.4;0.0833;5.1868;-6.1035
3.4;0.0909;5.8789;-7.0069
3.4;0.1000;6.5908;-7.9952
3.4;0.1111;7.4591;-9.2318
