R,hr,Value1,Value2
2.5,25,-1.37613,1.11387
2.5,26,-1.41678,1.14622
2.5,27,-1.46261,1.18222
2.5,28,-1.51033,1.21892
2.5,29,-1.56584,1.26275
2.5,30,-1.63081,1.31489
2.5,31,-1.76749,1.43174
2.5,32,-1.85344,1.49897
2.5,33,-1.95337,1.58046
2.5,34,-2.0727,1.67753
2.5,35,-2.21555,1.79212
2.5,36,-2.4435,1.99237
2.5,37,-2.65321,2.15728
2.5,38,-2.90507,2.36248
2.5,39,-3.27149,2.66644
2.5,40,-3.65892,2.97993
2.5,41,-4.1883,3.40366
2.5,42,-4.78874,3.86982
2.5,43,-5.57987,4.4762
2.5,44,-6.55902,5.20874
2.5,45,-7.72482,6.03202
2.5,46,-9.28757,7.09153
2.5,47,-11.1619,8.28536
2.5,48,-13.5008,9.66438
2.5,49,-16.2394,11.1343
2.5,50,-19.1228,12.5387
2.6,5,-0.700656,0.564872
2.6,6,-0.887731,0.62109
2.6,7,-0.784768,0.6491
2.6,8,-0.844288,0.692901
2.6,9,-0.861653,0.710084
2.6,10,-0.877157,0.721249
2.6,11,-0.895592,0.735
2.6,12,-0.913996,0.74992
2.6,13,-0.93275,0.765004
2.6,14,-0.952078,0.780635
2.6,15,-0.972226,0.796854
2.6,16,-0.99347,0.813509
2.6,17,-1.02101,0.835858
2.6,18,-1.04356,0.853636
2.6,19,-1.06789,0.871548
2.6,20,-1.09162,0.891352
2.6,21,-1.1178,0.912089
2.6,22,-1.20625,1.00507
2.6,23,-1.24032,1.0266
2.6,24,-1.28019,1.05149
2.6,25,-1.32128,1.08336
2.6,26,-1.36174,1.1161
2.6,27,-1.4074,1.15309
2.6,28,-1.4555,1.1911
2.6,29,-1.51179,1.23672
2.6,30,-1.57868,1.29177
2.6,31,-1.71841,1.41275
2.6,32,-1.80602,1.48616
2.6,33,-1.91362,1.57212
2.6,34,-2.0371,1.67638
2.6,35,-2.1877,1.79824
2.6,36,-2.42537,2.0096
2.6,37,-2.64481,2.18556
2.6,38,-2.9095,2.4016
2.6,39,-3.28797,2.7211
2.6,40,-3.68817,3.04767
2.6,41,-4.23181,3.4855
2.6,42,-4.84368,3.9635
2.6,43,-5.64492,4.58006
2.6,44,-6.62661,5.31804
2.6,45,-7.78384,6.13776
2.6,46,-9.31989,7.1867
2.6,47,-11.1397,8.348
2.6,48,-13.3752,9.67608
2.6,49,-15.9211,11.0624
2.6,50,-18.482,12.3531
2.7,5,-0.675154,0.550855
2.7,6,-0.869948,0.621832
2.7,7,-0.756608,0.632857
2.7,8,-0.815337,0.676778
2.7,9,-0.831263,0.692839
2.7,10,-0.845948,0.703596
2.7,11,-0.863366,0.716599
2.7,12,-0.880502,0.730744
2.7,13,-0.898111,0.745008
2.7,14,-0.916029,0.759589
2.7,15,-0.934894,0.774896
2.7,16,-0.954992,0.790787
2.7,17,-0.981171,0.811993
2.7,18,-1.00242,0.828903
2.7,19,-1.02538,0.846103
2.7,20,-1.04786,0.865167
2.7,21,-1.07296,0.885347
2.7,22,-1.15956,0.977118
2.7,23,-1.19318,0.998915
2.7,24,-1.23235,1.02386
2.7,25,-1.27322,1.05613
2.7,26,-1.31339,1.08903
2.7,27,-1.36025,1.12841
2.7,28,-1.40963,1.16841
2.7,29,-1.46769,1.21802
2.7,30,-1.53656,1.27469
2.7,31,-1.68041,1.40052
2.7,32,-1.77239,1.47942
2.7,33,-1.88494,1.57109
2.7,34,-2.01476,1.68248
2.7,35,-2.17261,1.81266
2.7,36,-2.42027,2.03461
2.7,37,-2.64982,2.22068
2.7,38,-2.92621,2.45229
2.7,39,-3.31638,2.78014
2.7,40,-3.73819,3.12227
2.7,41,-4.28365,3.56825
2.7,42,-4.90373,4.05525
2.7,43,-5.71173,4.67914
2.7,44,-6.69335,5.41841
2.7,45,-7.83744,6.23174
2.7,46,-9.34517,7.26409
2.7,47,-11.1055,8.39318
2.7,48,-13.229,9.66857
2.7,49,-15.5916,10.9778
2.7,50,-17.8524,12.1533
2.8,5,-0.651069,0.536795
2.8,6,-0.842935,0.604996
2.8,7,-0.728985,0.615913
2.8,8,-0.788015,0.660808
2.8,9,-0.80263,0.675628
2.8,10,-0.816647,0.686056
2.8,11,-0.833205,0.698559
2.8,12,-0.849231,0.711825
2.8,13,-0.865669,0.725162
2.8,14,-0.88255,0.739147
2.8,15,-0.900116,0.753634
2.8,16,-0.919272,0.768861
2.8,17,-0.944295,0.789427
2.8,18,-0.964469,0.805593
2.8,19,-0.986527,0.822217
2.8,20,-1.00802,0.840909
2.8,21,-1.03259,0.860928
2.8,22,-1.1178,0.952014
2.8,23,-1.15108,0.974309
2.8,24,-1.19045,0.999808
2.8,25,-1.23181,1.03301
2.8,26,-1.27275,1.06742
2.8,27,-1.32078,1.10848
2.8,28,-1.37203,1.15112
2.8,29,-1.43184,1.20307
2.8,30,-1.50405,1.26324
