R/ro;h/ro;Error_Inner_Thin;Error_Outer_Thin;Error_Inner_Thick;Error_Outer_Thick
2.5;0.029411765;-1.16711;0.94042;-5.84624;-8.25787
2.5;0.03030303;-1.25831;1.03532;-5.74246;-8.35805
2.5;0.03125;-1.29344;1.05706;-5.71671;-8.39839
2.5;0.032258065;-1.33439;1.08213;-5.68724;-8.44515
2.5;0.033333333;-1.37613;1.11387;-5.65046;-8.49297
2.5;0.034482759;-1.41678;1.14622;-5.61282;-8.53985
2.5;0.035714286;-1.46261;1.18222;-5.57107;-8.59254
2.5;0.037037037;-1.51033;1.21892;-5.52832;-8.64754
2.5;0.038461538;-1.56584;1.26275;-5.47767;-8.71119
2.5;0.04;-1.63081;1.31489;-5.41785;-8.78535
2.5;0.041666667;-1.76749;1.43174;-5.28855;-8.93668
2.5;0.043478261;-1.85344;1.49897;-5.21187;-9.03419
2.5;0.045454545;-1.95337;1.58046;-5.1195;-9.1472
2.5;0.047619048;-2.0727;1.67753;-5.00998;-9.28162
2.5;0.05;-2.21555;1.79212;-4.88116;-9.44197
2.5;0.052631579;-2.4435;1.99237;-4.66019;-9.69432
2.5;0.055555556;-2.65321;2.15728;-4.47617;-9.92817
2.5;0.058823529;-2.90507;2.36248;-4.2482;-10.2084
2.5;0.0625;-3.27149;2.66644;-3.91369;-10.6129
2.5;0.066666667;-3.65892;2.97993;-3.56768;-11.0417
2.5;0.071428571;-4.1883;3.40366;-3.10242;-11.625
2.5;0.076923077;-4.78874;3.86982;-2.58994;-12.2874
2.5;0.083333333;-5.57987;4.4762;-1.9254;-13.1581
2.5;0.090909091;-6.55902;5.20874;-1.12321;-14.2356
2.5;0.1;-7.72482;6.03202;-0.220294;-15.5206
2.5;0.111111111;-9.28757;7.09153;0.939741;-17.2417
2.5;0.125;-11.1619;8.28536;2.25005;-19.313
2.5;0.142857143;-13.5008;9.66438;3.76777;-21.9079
2.5;0.166666667;-16.2394;11.1343;5.39739;-24.9752
2.5;0.2;-19.1228;12.5387;6.98163;-28.2797
2.6;0.02;-0.700656;0.564872;-6.08204;-7.5378
2.6;0.020408163;-0.887731;0.62109;-6.02088;-7.73859
2.6;0.020833333;-0.784768;0.6491;-5.98977;-7.62969
2.6;0.021276596;-0.844288;0.692901;-5.94176;-7.69435
2.6;0.02173913;-0.861653;0.710084;-5.92209;-7.71404
2.6;0.022222222;-0.877157;0.721249;-5.90878;-7.7318
2.6;0.022727273;-0.895592;0.735;-5.89265;-7.75274
2.6;0.023255814;-0.913996;0.74992;-5.87521;-7.77372
2.6;0.023809524;-0.93275;0.765004;-5.85751;-7.79513
2.6;0.024390244;-0.952078;0.780635;-5.83916;-7.81723
2.6;0.025;-0.972226;0.796854;-5.82009;-7.84028
2.6;0.025641026;-0.99347;0.813509;-5.80047;-7.86459
2.6;0.026315789;-1.02101;0.835858;-5.77467;-7.8957
2.6;0.027027027;-1.04356;0.853636;-5.75365;-7.92159
2.6;0.027777778;-1.06789;0.871548;-5.73236;-7.94949
2.6;0.028571429;-1.09162;0.891352;-5.70894;-7.97686
2.6;0.029411765;-1.1178;0.912089;-5.68438;-8.00698
2.6;0.03030303;-1.20625;1.00507;-5.58262;-8.10374
2.6;0.03125;-1.24032;1.0266;-5.5569;-8.14257
2.6;0.032258065;-1.28019;1.05149;-5.52744;-8.18777
2.6;0.033333333;-1.32128;1.08336;-5.49032;-8.23446
2.6;0.034482759;-1.36174;1.1161;-5.45206;-8.28068
2.6;0.035714286;-1.4074;1.15309;-5.40904;-8.33269
2.6;0.037037037;-1.4555;1.1911;-5.36465;-8.38757
2.6;0.038461538;-1.51179;1.23672;-5.31185;-8.45149
2.6;0.04;-1.57868;1.29177;-5.24866;-8.52706
2.6;0.041666667;-1.71841;1.41275;-5.11482;-8.68084
2.6;0.043478261;-1.80602;1.48616;-5.03126;-8.77936
2.6;0.045454545;-1.91362;1.57212;-4.93385;-8.89973
2.6;0.047619048;-2.0371;1.67638;-4.81638;-9.03764
2.6;0.05;-2.1877;1.79824;-4.67952;-9.20521
2.6;0.052631579;-2.42537;2.0096;-4.44654;-9.46663
2.6;0.055555556;-2.64481;2.18556;-4.25045;-9.70952
2.6;0.058823529;-2.9095;2.4016;-4.01066;-10.0019
2.6;0.0625;-3.28797;2.7211;-3.65945;-10.4173
2.6;0.066666667;-3.68817;3.04767;-3.29932;-10.8577
2.6;0.071428571;-4.23181;3.4855;-2.81897;-11.4536
2.6;0.076923077;-4.84368;3.9635;-2.2938;-12.1252
2.6;0.083333333;-5.64492;4.58006;-1.61853;-13.003
2.6;0.090909091;-6.62661;5.31804;-0.810767;-14.0787
2.6;0.1;-7.78384;6.13776;0.0881143;-15.3491
2.6;0.111111111;-9.31989;7.1867;1.23635;-17.0347
2.6;0.125;-11.1397;8.348;2.51144;-19.0389
2.6;0.142857143;-13.3752;9.67608;3.97425;-21.5118
2.6;0.166666667;-15.9211;11.0624;5.51433;-24.3581
2.6;0.2;-18.482;12.3531;6.97768;-27.2975
2.7;0.02;-0.675154;0.550855;-5.88833;-7.29747
2.7;0.020408163;-0.869948;0.621832;-5.81151;-7.50598
2.7;0.020833333;-0.756608;0.632857;-5.79848;-7.38613
2.7;0.021276596;-0.815337;0.676778;-5.75036;-7.4497
2.7;0.02173913;-0.831263;0.692839;-5.73186;-7.46771
2.7;0.022222222;-0.845948;0.703596;-5.71893;-7.48444
2.7;0.022727273;-0.863366;0.716599;-5.70355;-7.50413
2.7;0.023255814;-0.880502;0.730744;-5.68688;-7.52358
2.7;0.023809524;-0.898111;0.745008;-5.67001;-7.54359
2.7;0.024390244;-0.916029;0.759589;-5.65271;-7.564
2.7;0.025;-0.934894;0.774896;-5.63456;-7.58548
2.7;0.025641026;-0.954992;0.790787;-5.61569;-7.60836
2.7;0.026315789;-0.981171;0.811993;-5.59106;-7.63779
2.7;0.027027027;-1.00242;0.828903;-5.57089;-7.66207
2.7;0.027777778;-1.02538;0.846103;-5.55029;-7.68826
2.7;0.028571429;-1.04786;0.865167;-5.52757;-7.71404
2.7;0.029411765;-1.07296;0.885347;-5.50353;-7.74273
2.7;0.03030303;-1.15956;0.977118;-5.40313;-7.83711
2.7;0.03125;-1.19318;0.998915;-5.37704;-7.87515
2.7;0.032258065;-1.23235;1.02386;-5.34741;-7.91926
2.7;0.033333333;-1.27322;1.05613;-5.30978;-7.96535
2.7;0.034482759;-1.31339;1.08903;-5.27126;-8.01088
2.7;0.035714286;-1.36025;1.12841;-5.22559;-8.06376
2.7;0.037037037;-1.40963;1.16841;-5.17899;-8.11956
2.7;0.038461538;-1.46769;1.21802;-5.12184;-8.18488
2.7;0.04;-1.53656;1.27469;-5.05684;-8.26203
2.7;0.041666667;-1.68041;1.40052;-4.91785;-8.41946
2.7;0.043478261;-1.77239;1.47942;-4.82837;-8.52199
2.7;0.045454545;-1.88494;1.57109;-4.72481;-8.64691
2.7;0.047619048;-2.01476;1.68248;-4.5997;-8.79078
2.7;0.05;-2.17261;1.81266;-4.45395;-8.96514
2.7;0.052631579;-2.42027;2.03461;-4.20982;-9.23603
2.7;0.055555556;-2.64982;2.22068;-4.00299;-9.48848
2.7;0.058823529;-2.92621;2.45229;-3.74672;-9.79194
2.7;0.0625;-3.31638;2.78014;-3.38689;-10.2181
2.7;0.066666667;-3.73819;3.12227;-3.01046;-10.6795
2.7;0.071428571;-4.28365;3.56825;-2.52189;-11.275
2.7;0.076923077;-4.90373;4.05525;-1.98762;-11.9526
2.7;0.083333333;-5.71173;4.67914;-1.30527;-12.8342
2.7;0.090909091;-6.69335;5.41841;-0.497064;-13.9057
2.7;0.1;-7.83744;6.23174;0.393982;-15.1571
2.7;0.111111111;-9.34517;7.26409;1.52314;-16.806
2.7;0.125;-11.1055;8.39318;2.7624;-18.7387
2.7;0.142857143;-13.229;9.66857;4.16737;-21.0819
2.7;0.166666667;-15.5916;10.9778;5.62373;-23.7193
2.7;0.2;-17.8524;12.1533;6.96306;-26.321
2.8;0.02;-0.651069;0.536795;-5.685;-7.04866
2.8;0.020408163;-0.842935;0.604996;-5.61126;-7.25354
2.8;0.020833333;-0.728985;0.615913;-5.59833;-7.1332
2.8;0.021276596;-0.788015;0.660808;-5.54924;-7.19688
2.8;0.02173913;-0.80263;0.675628;-5.53205;-7.21336
2.8;0.022222222;-0.816647;0.686056;-5.51946;-7.22925
2.8;0.022727273;-0.833205;0.698559;-5.50459;-7.24789
2.8;0.023255814;-0.849231;0.711825;-5.48884;-7.26602
2.8;0.023809524;-0.865669;0.725162;-5.47294;-7.28463
2.8;0.024390244;-0.88255;0.739147;-5.45627;-7.30378
2.8;0.025;-0.900116;0.753634;-5.43897;-7.32372
2.8;0.025641026;-0.919272;0.768861;-5.42079;-7.34542
2.8;0.026315789;-0.944295;0.789427;-5.39683;-7.37343
2.8;0.027027027;-0.964469;0.805593;-5.37744;-7.39637
2.8;0.027777778;-0.986527;0.822217;-5.35743;-7.42139
2.8;0.028571429;-1.00802;0.840909;-5.33509;-7.44592
2.8;0.029411765;-1.03259;0.860928;-5.3112;-7.47382
2.8;0.03030303;-1.1178;0.952014;-5.21166;-7.56635
2.8;0.03125;-1.15108;0.974309;-5.18501;-7.60376
2.8;0.032258065;-1.19045;0.999808;-5.15478;-7.6478
2.8;0.033333333;-1.23181;1.03301;-5.11616;-7.6941
2.8;0.034482759;-1.27275;1.06742;-5.07602;-7.74013
2.8;0.035714286;-1.32078;1.10848;-5.02856;-7.7939
2.8;0.037037037;-1.37203;1.15112;-4.97914;-7.85132
2.8;0.038461538;-1.43184;1.20307;-4.91953;-7.91808
2.8;0.04;-1.50405;1.26324;-4.85082;-7.99832
2.8;0.041666667;-1.65237;1.39466;-4.70608;-8.15986
2.8;0.043478261;-1.7492;1.4789;-4.61098;-8.26699
2.8;0.045454545;-1.86723;1.57681;-4.50086;-8.39709
2.8;0.047619048;-2.0036;1.69517;-4.36846;-8.54719
2.8;0.05;-2.16845;1.8331;-4.21463;-8.72818
2.8;0.052631579;-2.42626;2.06574;-3.95949;-9.00878
2.8;0.055555556;-2.66514;2.26121;-3.74293;-9.27005
2.8;0.058823529;-2.94915;2.49855;-3.48091;-9.58033
2.8;0.0625;-3.35133;2.84079;-3.10635;-10.0176
2.8;0.066666667;-3.77427;3.1906;-2.72233;-10.4785
2.8;0.071428571;-4.34001;3.65023;-2.22006;-11.0933
2.8;0.076923077;-4.9668;4.14377;-1.67971;-11.7756
2.8;0.083333333;-5.77794;4.77138;-0.994565;-12.6573
2.8;0.090909091;-6.7566;5.50085;-0.198158;-13.7219
2.8;0.1;-7.88474;6.31374;0.690866;-14.9517
2.8;0.111111111;-9.3614;7.3243;1.79486;-16.5616
2.8;0.125;-11.0571;8.42186;2.9984;-18.4182
2.8;0.142857143;-13.0724;9.6442;4.34448;-20.637
2.8;0.166666667;-15.2555;10.8735;5.71334;-23.0714
2.8;0.2;-17.2338;11.9407;6.93516;-25.3572
2.9;0.02;-0.628156;0.5228;-5.47793;-6.79729
2.9;0.020408163;-0.81629;0.588928;-5.40652;-6.99771
2.9;0.020833333;-0.702741;0.599133;-5.39436;-6.87799
2.9;0.021276596;-0.762213;0.64486;-5.34448;-6.94193
2.9;0.02173913;-0.775505;0.658793;-5.32824;-6.95691
2.9;0.022222222;-0.789048;0.668766;-5.31614;-6.97218
2.9;0.022727273;-0.80475;0.680813;-5.30178;-6.9898
2.9;0.023255814;-0.819864;0.693418;-5.28675;-7.00683
2.9;0.023809524;-0.835339;0.706245;-5.2714;-7.0243
2.9;0.024390244;-0.851203;0.719504;-5.25551;-7.04224
2.9;0.025;-0.868112;0.733225;-5.23905;-7.06134
2.9;0.025641026;-0.886153;0.748258;-5.22109;-7.08171
2.9;0.026315789;-0.910271;0.767839;-5.1982;-7.1086
2.9;0.027027027;-0.929873;0.783759;-5.17908;-7.13077
