2;46;68.2249;67.6757;-11.1041;7.62321
2;47;69.7244;69.1753;-13.8911;9.18986
2;48;71.224;70.675;-17.5758;11.0334
2;49;72.7235;72.1747;-1.06969;0.699797
2;50;74.223;73.6744;-0.966115;0.734137
2.2;5;6.7816;6.0118;-1.0235;0.775495
2.2;6;8.2352;7.4171;-1.0509;0.79559
2.2;7;9.6408;8.8252;-1.0728;0.809995
2.2;8;11.0202;10.235;-1.09708;0.827238
2.2;10;13.7509;13.0578;-1.12273;0.846718
2.2;12;16.4857;15.8835;-1.14967;0.867938
2.2;14;19.2433;18.7112;-1.1773;0.888002
2.2;16;22.026;21.5404;-1.2064;0.910093
2.2;18;24.8296;24.3704;-1.23672;0.932424
2.2;20;27.6488;27.2012;-1.27376;0.960995
2.2;22;30.4783;30.0324;-1.30679;0.985328
2.2;24;33.3141;32.8639;-1.34219;1.01023
2.2;26;36.1532;35.6958;-1.37766;1.03694
2.2;28;38.9936;38.5278;-1.41517;1.0648
2.2;30;41.8341;41.36;-1.52364;1.17152
2.2;32;44.674;44.1923;-1.56907;1.19819
2.2;34;47.5129;47.0247;-1.62008;1.22945
2.2;36;50.3507;49.8573;-1.67006;1.2662
2.2;38;53.1874;52.6899;-1.72431;1.30332
2.2;40;56.0231;55.5225;-1.77636;1.33986
2.2;42;58.858;58.3553;-1.83181;1.37779
2.2;44;61.6923;61.188;-1.89429;1.42203
2.2;46;64.5259;64.0209;-1.96351;1.47141
2.2;48;67.3592;66.8537;-2.10178;1.58167
2.2;50;70.1922;69.6866;-2.18276;1.63855
2.4;6;7.9504;7.162;-2.27866;1.7024
2.4;7;9.3156;8.5128;-2.38373;1.77813
2.4;8;10.6511;9.8649;-2.50812;1.86578
2.4;9;11.9703;11.2179;-2.70616;2.0245
2.4;10;13.2819;12.5715;-2.8802;2.14671
2.4;11;14.5916;13.9256;-3.09725;2.30614
2.4;12;15.9027;15.2802;-3.39809;2.53799
2.4;13;17.2173;16.635;-3.72409;2.78148
2.4;14;18.5366;17.9902;-4.17968;3.12553
2.4;15;19.861;19.3456;-4.71122;3.50922
2.4;16;21.1905;20.7013;-5.42615;4.03939
2.4;17;22.5249;22.0571;-6.34629;4.70425
2.4;18;23.8639;23.413;-7.49375;5.48936
2.4;19;25.2069;24.7691;-9.08977;6.54638
2.4;20;26.5534;26.1253;-11.1276;7.80786
2.4;21;27.903;27.4816;-13.8458;9.35383
2.4;22;29.2551;28.838;-17.3501;11.1342
2.4;23;30.6093;30.1944;-1.03608;0.70479
2.4;24;31.9653;31.5509;-0.924706;0.715508
2.4;25;33.3226;32.9075;-0.983114;0.757211
2.4;26;34.681;34.2641;-1.00653;0.778132
2.4;27;36.0401;35.6207;-1.02625;0.792283
2.4;28;37.3999;36.9774;-1.04928;0.80884
2.4;29;38.76;38.3341;-1.07328;0.827476
2.4;30;40.1204;39.6908;-1.09831;0.846826
2.4;31;41.4809;41.0476;-1.12464;0.867458
2.4;32;42.8415;42.4043;-1.15124;0.887701
2.4;33;44.202;43.7611;-1.17987;0.909156
2.4;34;45.5623;45.1179;-1.21466;0.936196
2.4;35;46.9225;46.4748;-1.23395;0.964688
2.4;36;48.2826;47.8316;-1.2678;0.987488
2.4;37;49.6424;49.1885;-1.29984;1.01097
2.4;38;51.002;50.5453;-1.34461;1.03312
2.4;39;52.3614;51.9022;-1.44779;1.13627
2.4;40;53.7205;53.2591;-1.48985;1.16127
2.4;41;55.0794;54.616;-1.53829;1.18991
2.4;42;56.4382;55.9729;-1.58386;1.22539
2.4;43;57.7967;57.3299;-1.63443;1.26085
2.4;44;59.155;58.6868;-1.68235;1.29503
2.4;45;60.5131;60.0437;-1.73444;1.33196
2.4;46;61.8711;61.4007;-1.79361;1.37469
2.4;47;63.2289;62.7576;-1.85988;1.42334
2.4;48;64.5866;64.1146;-1.99413;1.53139
2.4;49;65.9442;65.4716;-2.07443;1.59222
2.4;50;67.3016;66.8285;-2.16971;1.65882
2.6;5;6.3389;5.661;-2.27593;1.73842
2.6;6;7.7243;6.9669;-2.40252;1.83048
2.6;7;9.061;8.2746;-2.60396;1.99756
2.6;8;10.366;9.5832;-2.78645;2.13043
2.6;9;11.652;10.8925;-3.01349;2.30365
2.6;10;12.9274;12.2023;-3.32749;2.5519
2.6;11;14.198;13.5125;-3.67145;2.81582
2.6;12;15.4674;14.823;-4.14559;3.18228
2.6;13;16.7382;16.1337;-4.69811;3.59035
2.6;14;18.0119;17.4447;-5.43868;4.14608
2.6;15;19.2893;18.7558;-6.37963;4.83736
2.6;16;20.5708;20.0671;-7.54025;5.64137
2.6;17;21.8566;21.3785;-9.14093;6.71211
2.6;18;23.1464;22.6901;-11.1495;7.96484
2.6;19;24.4402;24.0017;-13.7885;9.47528
2.6;20;25.7375;25.3135;-17.1003;11.187
2.6;21;27.038;26.6253;-0.998022;0.688578
2.6;22;28.3413;27.9372;-0.884314;0.700316
2.6;23;29.647;29.2491;-0.943835;0.74117
2.6;24;30.9549;30.5611;-0.96543;0.76163
2.6;25;32.2645;31.8731;-0.984655;0.773357
2.6;26;33.5756;33.1852;-1.00619;0.790542
2.6;27;34.8879;34.4973;-1.0286;0.808354
2.6;28;36.2011;35.8094;-1.05196;0.826493
2.6;29;37.5152;37.1216;-1.07616;0.845865
2.6;30;38.8298;38.4337;-1.10126;0.864753
